Designation;Bore diameter(d);Outside diameter(D);Width(E);type;Image
;;;;;
292/500 ;500;670;103;Butées à rotule sur rouleaux;
   292/530 EM ;530;710;109;Butées à rotule sur rouleaux;
   292/560 ;560;750;115;Butées à rotule sur rouleaux;
292/600 EM ;600;800;122;Butées à rotule sur rouleaux;
   292/630 EM ;630;850;132;Butées à rotule sur rouleaux;
   292/800 EM ;800;1 060;155;Butées à rotule sur rouleaux;
   29230 E ;150;215;39;Butées à rotule sur rouleaux;
   29236 E ;180;250;42;Butées à rotule sur rouleaux;
   29240 E ;200;280;48;Butées à rotule sur rouleaux;
   29244 E ;220;300;48;Butées à rotule sur rouleaux;
29248;240;340;60;Butées à rotule sur rouleaux;
29252;260;360;60;Butées à rotule sur rouleaux;
29256;280;380;60;Butées à rotule sur rouleaux;
29260;300;420;73;Butées à rotule sur rouleaux;
29264;320;440;73;Butées à rotule sur rouleaux;
29268;340;460;73;Butées à rotule sur rouleaux;
29272;360;500;85;Butées à rotule sur rouleaux;
29276;380;520;85;Butées à rotule sur rouleaux;
29280;400;540;85;Butées à rotule sur rouleaux;
29284;420;580;95;Butées à rotule sur rouleaux;
29288;440;600;95;Butées à rotule sur rouleaux;
29292;460;620;95;Butées à rotule sur rouleaux;
29296;480;650;103;Butées à rotule sur rouleaux;
   293/500 ;500;750;150;Butées à rotule sur rouleaux;
   293/530 EM ;530;800;160;Butées à rotule sur rouleaux;
   293/630 EM ;630;950;190;Butées à rotule sur rouleaux;
   293/710 EM ;710;1 060;212;Butées à rotule sur rouleaux;
   293/800 EM ;800;1 180;230;Butées à rotule sur rouleaux;
 29317 E ;85;150;39;Butées à rotule sur rouleaux;
 29318 E ;90;155;39;Butées à rotule sur rouleaux;
;;;;;
 K 3X5X7 TN ;3;5;7;  Cages à aiguilles;
   K 3X5X9 TN ;3;5;9;  Cages à aiguilles;
   K 3X6X7 TN ;3;6;7;  Cages à aiguilles;
   K 4X7X10 TN ;4;7;10;  Cages à aiguilles;
   K 4X7X7 TN ;4;7;7;  Cages à aiguilles;
   K 5X8X10 TN ;5;8;10;  Cages à aiguilles;
   K 5X8X8 TN ;5;8;8;  Cages à aiguilles;
   K 6X9X10 TN ;6;9;10;  Cages à aiguilles;
   K 6X9X8 TN ;6;9;8;  Cages à aiguilles;
   K 7X10X10 TN ;7;10;10;  Cages à aiguilles;
   K 7X10X8 TN ;7;10;8;  Cages à aiguilles;
   K 7X9X7 TN ;7;9;7;  Cages à aiguilles;
   K 8X11X10 TN ;8;11;10;  Cages à aiguilles;
   K 8X11X13 TN ;8;11;13;  Cages à aiguilles;
   K 8X12X10 TN ;8;12;10;  Cages à aiguilles;
   K 9X12X10 TN ;9;12;10;  Cages à aiguilles;
   K 9X12X13 TN ;9;12;13;  Cages à aiguilles;
   K 10X13X10 TN ;10;13;10;  Cages à aiguilles;
   K 10X13X13 TN ;10;13;13;  Cages à aiguilles;
   K 10X13X16 TN ;10;13;16;  Cages à aiguilles;
   K 10X14X10 TN ;10;14;10;  Cages à aiguilles;
   K 10X14X13 TN ;10;14;13;  Cages à aiguilles;
   K 10X16X12 TN ;10;16;12;  Cages à aiguilles;
   K 12X15X10 TN ;12;15;10;  Cages à aiguilles;
